2	4	2   2   
3	16	4   2   2   
3	64	8   2   4   
3	208	13   2   8   
3	416	16   2   13   
3	640	20   2   16   
3	480	12   2   20   
3	384	16   2   12   
3	352	11   2   16   
3	308	14   2   11   
3	448	16   2   14   
3	576	18   2   16   
3	648	18   2   18   
3	648	18   2   18   
3	648	18   2   18   
3	684	19   2   18   
3	722	19   2   19   
3	722	19   2   19   
3	722	19   2   19   
3	722	19   2   19   
3	760	20   2   19   
3	840	21   2   20   
3	924	22   2   21   
3	880	20   2   22   
3	840	21   2   20   
3	882	21   2   21   
3	798	19   2   21   
3	722	19   2   19   
3	722	19   2   19   
3	760	20   2   19   
3	840	21   2   20   
3	966	23   2   21   
3	1104	24   2   23   
3	1248	26   2   24   
3	1352	26   2   26   
3	1404	27   2   26   
3	1512	28   2   27   
3	1456	26   2   28   
3	1196	23   2   26   
3	828	18   2   23   
3	648	18   2   18   
3	648	18   2   18   
3	612	17   2   18   
3	510	15   2   17   
3	360	12   2   15   
3	264	11   2   12   
3	176	8   2   11   
3	64	4   2   8   
3	16	2   2   4   
2	4	2   2   
