1 1	-0.718605 
1 2	0.640975 
2 1	-0.179549 
2 2	-0.201294 

1 1 1	0.610463 
1 1 2	-0.620359 
1 2 1	-0.737247 
1 2 2	-0.56824 
2 1 1	0.223797 
2 1 2	-0.43659 
2 2 1	0.183434 
2 2 2	0.314692 
3 1 1	0.000133906 
3 1 2	-0.039761 
3 2 1	-0.00808698 
3 2 2	0.0267925 
4 1 1	-0.000494766 
4 1 2	0.0125912 
4 2 1	-0.00130777 
4 2 2	0.0126427 

1 1 1	0.754563 
1 1 2	-0.531345 
1 1 3	0.318281 
1 1 4	0.162745 
1 2 1	-0.587746 
1 2 2	-0.601249 
1 2 3	0.461105 
1 2 4	-0.199067 
2 1 1	0.18638 
2 1 2	-0.33424 
2 1 3	-0.473399 
2 1 4	-0.677667 
2 2 1	0.224218 
2 2 2	0.489986 
2 2 3	0.531586 
2 2 4	-0.530158 
3 1 1	0.00969054 
3 1 2	0.0376147 
3 1 3	0.246338 
3 1 4	0.280791 
3 2 1	0.00843754 
3 2 2	-0.048422 
3 2 3	-0.315473 
3 2 4	0.244042 
4 1 1	-0.00236129 
4 1 2	-0.0182417 
4 1 3	-0.0995661 
4 1 4	-0.1762 
4 2 1	0.00103848 
4 2 2	-0.0162994 
4 2 3	-0.0850228 
4 2 4	0.10247 
5 1 1	0.00149221 
5 1 2	-0.00105244 
5 1 3	0.00941853 
5 1 4	0.0403481 
5 2 1	-0.00174984 
5 2 2	-0.00211368 
5 2 3	0.000428801 
5 2 4	0.0179186 
6 1 1	6.3777e-05 
6 1 2	-0.000207535 
6 1 3	0.00347595 
6 1 4	-0.00272973 
6 2 1	-0.000293525 
6 2 2	-0.00029208 
6 2 3	-0.000654066 
6 2 4	0.0205962 
7 1 1	-0.000641425 
7 1 2	0.000620484 
7 1 3	-0.0124896 
7 1 4	-0.00974799 
7 2 1	-0.000256826 
7 2 2	-0.000647645 
7 2 3	0.0258409 
7 2 4	-0.014419 
8 1 1	-0.000121972 
8 1 2	-0.000337287 
8 1 3	0.0271938 
8 1 4	-0.0635885 
8 2 1	-0.000354569 
8 2 2	0.00211814 
8 2 3	-0.0193887 
8 2 4	-0.0831406 

1 1 1	-0.570959 
1 1 2	0.588642 
1 1 3	0.483369 
1 1 4	0.19069 
1 1 5	-0.194149 
1 1 6	-0.0111348 
1 1 7	-0.0850181 
1 1 8	-0.0303428 
1 2 1	0.767593 
1 2 2	0.506693 
1 2 3	0.322261 
1 2 4	-0.159543 
1 2 5	-0.113531 
1 2 6	-0.0172979 
1 2 7	0.0927048 
1 2 8	-0.020119 
2 1 1	0.222988 
2 1 2	-0.523928 
2 1 3	0.50452 
2 1 4	0.506516 
2 1 5	-0.283976 
2 1 6	-0.00944118 
2 1 7	-0.207928 
2 1 8	-0.0482657 
2 2 1	0.186367 
2 2 2	0.341745 
2 2 3	-0.437302 
2 2 4	0.677701 
2 2 5	0.234272 
2 2 6	0.0435683 
2 2 7	-0.332442 
2 2 8	0.0335777 
3 1 1	0.0149045 
3 1 2	0.0521363 
3 1 3	-0.354534 
3 1 4	-0.259727 
3 1 5	-0.608759 
3 1 6	-0.0172929 
3 1 7	-0.325007 
3 1 8	0.0535291 
3 2 1	0.0108421 
3 2 2	-0.0429623 
3 2 3	0.25944 
3 2 4	-0.307067 
3 2 5	0.438969 
3 2 6	0.0819269 
3 2 7	-0.457787 
3 2 8	0.292233 
4 1 1	0.00204812 
4 1 2	0.0182932 
4 1 3	-0.0940878 
4 1 4	-0.122603 
4 1 5	-0.141579 
4 1 6	0.00426893 
4 1 7	-0.266337 
4 1 8	-0.321193 
4 2 1	-0.00220999 
4 2 2	0.0239101 
4 2 3	-0.113754 
4 2 4	0.208976 
4 2 5	-0.167049 
4 2 6	-0.0201951 
4 2 7	0.430386 
4 2 8	0.291638 
5 1 1	-0.000631688 
5 1 2	-6.63282e-05 
5 1 3	-0.0324713 
5 1 4	-0.0219775 
5 1 5	-0.258354 
5 1 6	-0.0353239 
5 1 7	-0.164073 
5 1 8	-0.0295898 
5 2 1	0.000186975 
5 2 2	0.000891276 
5 2 3	0.0235915 
5 2 4	-0.0221351 
5 2 5	0.176327 
5 2 6	0.0787081 
5 2 7	-0.228954 
