2	2	2   2   
3	6	4   2   2   
3	20	8   2   4   
3	70	16   2   8   
3	252	32   2   16   
3	924	64   2   32   
3	3432	128   2   64   
3	10494	200   2   128   
3	17180	200   2   200   
3	17927	200   2   200   
3	18435	200   2   200   
3	18874	200   2   200   
3	18921	200   2   200   
3	18775	200   2   200   
3	18683	200   2   200   
3	18447	200   2   200   
3	18254	200   2   200   
3	18167	200   2   200   
3	18170	200   2   200   
3	18141	200   2   200   
3	18189	200   2   200   
3	18228	200   2   200   
3	18375	200   2   200   
3	18418	200   2   200   
3	18409	200   2   200   
3	18426	200   2   200   
3	18510	200   2   200   
3	18452	200   2   200   
3	18489	200   2   200   
3	18489	200   2   200   
3	18237	200   2   200   
3	18294	200   2   200   
3	18426	200   2   200   
3	18419	200   2   200   
3	18404	200   2   200   
3	18360	200   2   200   
3	18455	200   2   200   
3	18542	200   2   200   
3	18512	200   2   200   
3	18547	200   2   200   
3	18492	200   2   200   
3	18369	200   2   200   
3	18136	200   2   200   
3	18050	200   2   200   
3	18045	200   2   200   
3	18044	200   2   200   
3	18086	200   2   200   
3	18256	200   2   200   
3	18354	200   2   200   
3	18532	200   2   200   
3	18716	200   2   200   
3	18921	200   2   200   
3	18871	200   2   200   
3	18311	200   2   200   
3	17659	200   2   200   
3	16932	200   2   200   
3	10432	128   2   200   
3	3432	64   2   128   
3	924	32   2   64   
3	252	16   2   32   
3	70	8   2   16   
3	20	4   2   8   
3	6	2   2   4   
2	2	2   2   
